From	To	Species	Gene Name
At3g13200	257192_at	Arabidopsis thaliana	Cwf15 / Cwc15 cell cycle control family protein(EMB2769)
At1g74900	262224_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(OTP43)
At5g27540	246775_at	Arabidopsis thaliana	MIRO-related GTP-ase 1(MIRO1)
At4g21710	254368_at	Arabidopsis thaliana	DNA-directed RNA polymerase family protein(NRPB2)
At5g18580	249998_at	Arabidopsis thaliana	tonneau 2 (TON2)(FASS)
At1g63160	259690_at	Arabidopsis thaliana	replication factor C 2(RFC2)
At2g43360	260548_at	Arabidopsis thaliana	Radical SAM superfamily protein(BIO2)
At2g39770	245060_at	Arabidopsis thaliana	Glucose-1-phosphate adenylyltransferase family protein(CYT1)
At3g12080	256274_at	Arabidopsis thaliana	GTP-binding family protein(emb2738)
At4g36630	246232_at	Arabidopsis thaliana	Vacuolar sorting protein 39(EMB2754)
At4g27010	253942_at	Arabidopsis thaliana	ribosome 60S biogenesis amino-terminal protein(EMB2788)
At5g10330	260172_s_at	Arabidopsis thaliana	histidinol phosphate aminotransferase 1(HPA1)
At3g55010	251830_at	Arabidopsis thaliana	phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)(PUR5)
At4g10760	254994_at	Arabidopsis thaliana	mRNAadenosine methylase(MTA)
At1g11680	262820_at	Arabidopsis thaliana	CYTOCHROME P450 51G1(CYP51G1)
At4g02990	255465_at	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(BSM)
At5g54440	248158_at	Arabidopsis thaliana	CLUB(CLUB)
At5g14320	250190_at	Arabidopsis thaliana	Ribosomal protein S13/S18 family(EMB3137)
At4g02720	255495_at	Arabidopsis thaliana	Ras-induced vulval development antagonist protein(AT4G02720)
At1g68990	259672_at	Arabidopsis thaliana	male gametophyte defective 3(MGP3)
At5g53860	248235_at	Arabidopsis thaliana	embryo defective 2737(emb2737)
At5g18570	249993_at	Arabidopsis thaliana	GTP1/OBG family protein(EMB269)
At5g10480	250428_at	Arabidopsis thaliana	Protein-tyrosine phosphatase-like, PTPLA(PAS2)
At3g05680	258891_at	Arabidopsis thaliana	embryo defective 2016(EMB2016)
At2g32590	267118_at	Arabidopsis thaliana	condensin complex subunit(EMB2795)
At3g55510	251800_at	Arabidopsis thaliana	Noc2p family(RBL)
At5g27720	246741_at	Arabidopsis thaliana	Small nuclear ribonucleoprotein family protein(emb1644)
At4g31780	253489_at	Arabidopsis thaliana	monogalactosyl diacylglycerol synthase 1(MGD1)
At1g17220	262483_at	Arabidopsis thaliana	Translation initiation factor 2, small GTP-binding protein(FUG1)
At1g62750	262645_at	Arabidopsis thaliana	Translation elongation factor EFG/EF2 protein(SCO1)
At5g56680	262306_s_at	Arabidopsis thaliana	Class II aminoacyl-tRNA and biotin synthetases superfamily protein(SYNC1)
At1g34770	262410_at	Arabidopsis thaliana	melanoma-associated antigen G1-like protein(AT1G34770)
At5g50390	248498_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR-like) superfamily protein(EMB3141)
At2g28000	264069_at	Arabidopsis thaliana	chaperonin-60alpha(CPN60A)
At2g29530	266239_at	Arabidopsis thaliana	Tim10/DDP family zinc finger protein(TIM10)
At5g26760	246846_at	Arabidopsis thaliana	RNA polymerase II subunit B1 CTD phosphatase RPAP2-like protein(AT5G26760)
At1g75660	262923_at	Arabidopsis thaliana	5'-3' exoribonuclease 3(XRN3)
At2g45270	245142_at	Arabidopsis thaliana	glycoprotease 1(GCP1)
At4g14590	245564_at	Arabidopsis thaliana	embryo defective 2739(emb2739)
At1g07910	260677_at	Arabidopsis thaliana	RNAligase(RNL)
At2g20000	265585_at	Arabidopsis thaliana	CDC27 family protein(HBT)
At5g48840	248680_at	Arabidopsis thaliana	pantoate-beta-alanine ligase(PANC)
At2g36230	263902_at	Arabidopsis thaliana	Aldolase-type TIM barrel family protein(APG10)
At5g14800	246594_at	Arabidopsis thaliana	pyrroline-5- carboxylate (P5C) reductase(P5CR)
At1g18370	261660_at	Arabidopsis thaliana	ATP binding microtubule motor family protein(HIK)
At3g18290	257062_at	Arabidopsis thaliana	zinc finger protein-like protein(BTS)
At5g53400	248258_at	Arabidopsis thaliana	HSP20-like chaperones superfamily protein(BOB1)
At4g29910	253703_at	Arabidopsis thaliana	origin recognition complex protein 5(ORC5)
At1g08260	261811_at	Arabidopsis thaliana	DNA polymerase epsilon catalytic subunit(TIL1)
At3g09070	259200_at	Arabidopsis thaliana	LOW protein: UPF0503-like protein, putative (DUF740)(OPS)
At3g18390	257717_at	Arabidopsis thaliana	CRS1 / YhbY (CRM) domain-containing protein(EMB1865)
At3g46560	252479_at	Arabidopsis thaliana	Tim10/DDP family zinc finger protein(TIM9)
At5g13010	250273_at	Arabidopsis thaliana	RNA helicase family protein(EMB3011)
At2g18390	265337_at	Arabidopsis thaliana	ADP-ribosylation factor family protein(TTN5)
At1g02680	260929_at	Arabidopsis thaliana	TBP-associated factor 13(TAF13)
At2g26350	267433_at	Arabidopsis thaliana	peroxin 10(PEX10)
At2g04030	263483_at	Arabidopsis thaliana	Chaperone protein htpG family protein(CR88)
At1g71820	261520_at	Arabidopsis thaliana	SEC6(SEC6)
At5g39680	249462_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(EMB2744)
At4g24900	254113_at	Arabidopsis thaliana	coiled coil protein(TTL)
At1g49510	262394_at	Arabidopsis thaliana	embryo defective 1273(emb1273)
At3g01610	259176_at	Arabidopsis thaliana	cell division cycle 48C(CDC48C)
At5g22370	249931_at	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(QQT1)
At2g03870	263332_at	Arabidopsis thaliana	Small nuclear ribonucleoprotein family protein(EMB2816)
At2g34480	267007_at	Arabidopsis thaliana	Ribosomal protein L18ae/LX family protein(AT2G34480)
At5g16390	250125_at	Arabidopsis thaliana	chloroplastic acetylcoenzyme A carboxylase 1(CAC1)
At3g54350	251866_at	Arabidopsis thaliana	Forkhead-associated (FHA) domain-containing protein(emb1967)
At2g35670	265801_at	Arabidopsis thaliana	VEFS-Box of polycomb protein(FIS2)
At2g41500	267102_at	Arabidopsis thaliana	WD-40 repeat family protein / small nuclear ribonucleoprotein Prp4p-like protein(LIS)
At1g10910	260465_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(EMB3103)
At3g54170	251887_at	Arabidopsis thaliana	FKBP12 interacting protein 37(FIP37)
At5g05560	250787_at	Arabidopsis thaliana	E3 ubiquitin ligase(EMB2771)
At5g58230	247821_at	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(MSI1)
At5g48720	248668_at	Arabidopsis thaliana	x-ray induced transcript 1(XRI1)
At3g18110	258149_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(EMB1270)
At3g07060	258546_at	Arabidopsis thaliana	NHL domain-containing protein(emb1974)
At5g15920	246536_at	Arabidopsis thaliana	structural maintenance of chromosomes 5(SMC5)
At1g78630	263131_at	Arabidopsis thaliana	Ribosomal protein L13 family protein(emb1473)
At1g05190	264575_at	Arabidopsis thaliana	Ribosomal protein L6 family(emb2394)
At5g64580	247235_at	Arabidopsis thaliana	AAA-type ATPase family protein(EMB3144)
At5g23880	249816_at	Arabidopsis thaliana	cleavage and polyadenylation specificity factor 100(CPSF100)
At4g21190	254427_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(emb1417)
At4g35540	253144_at	Arabidopsis thaliana	POLLEN-EXPRESSED TRANSCRIPTION FACTOR 2(AT4G35540)
At1g44900	261330_at	Arabidopsis thaliana	minichromosome maintenance (MCM2/3/5) family protein(MCM2)
At5g48600	248658_at	Arabidopsis thaliana	structural maintenance of chromosome 3(SMC3)
At1g50650	261908_at	Arabidopsis thaliana	Stigma-specific Stig1 family protein(AT1G50650)
At1g12360	259512_at	Arabidopsis thaliana	Sec1/munc18-like (SM) proteins superfamily(KEU)
At5g39980	249436_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G39980)
At1g12260	261022_at	Arabidopsis thaliana	NAC 007(NAC007)
At1g21970	260854_at	Arabidopsis thaliana	Histone superfamily protein(LEC1)
At5g42080	249232_at	Arabidopsis thaliana	dynamin-like protein(DL1)
At4g05410	255225_at	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(YAO)
At5g08470	250520_at	Arabidopsis thaliana	peroxisome 1(PEX1)
At3g50870	252128_at	Arabidopsis thaliana	GATA type zinc finger transcription factor family protein(MNP)
At2g03050	266742_at	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(EMB93)
At3g14900	257207_at	Arabidopsis thaliana	hypothetical protein(EMB3120)
At2g03150	266727_at	Arabidopsis thaliana	ATP/GTP-binding protein family(emb1579)
At2g35650	265824_at	Arabidopsis thaliana	cellulose synthase like(CSLA07)
At3g19770	257989_at	Arabidopsis thaliana	Vacuolar sorting protein 9 (VPS9) domain-containing protein(VPS9A)
At5g02250	251040_at	Arabidopsis thaliana	Ribonuclease II/R family protein(EMB2730)
At3g04340	258585_at	Arabidopsis thaliana	FtsH extracellular protease family(emb2458)
At1g02580	260908_at	Arabidopsis thaliana	SET domain-containing protein(MEA)
At5g54800	248144_at	Arabidopsis thaliana	glucose 6-phosphate/phosphate translocator 1(GPT1)
At4g36810	246198_at	Arabidopsis thaliana	geranylgeranyl pyrophosphate synthase 1(GGPS1)
At5g20920	246192_at	Arabidopsis thaliana	eukaryotic translation initiation factor 2 beta subunit(EIF2 BETA)
At1g18640	255778_at	Arabidopsis thaliana	3-phosphoserine phosphatase(PSP)
At1g17690	259406_at	Arabidopsis thaliana	U3 small nucleolar RNA-associated protein(NOF1)
At4g29060	253758_at	Arabidopsis thaliana	elongation factor Ts family protein(emb2726)
At3g16290	258048_at	Arabidopsis thaliana	AAA-type ATPase family protein(EMB2083)
At1g10270	264452_at	Arabidopsis thaliana	glutamine-rich protein 23(GRP23)
At3g49240	252305_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(emb1796)
At1g65440	264155_at	Arabidopsis thaliana	global transcription factor group B1(GTB1)
At5g58250	247862_at	Arabidopsis thaliana	YCF54(EMB3143)
At1g30610	263220_at	Arabidopsis thaliana	pentatricopeptide (PPR) repeat-containing protein(EMB2279)
At4g32720	253396_at	Arabidopsis thaliana	La protein 1(La1)
At1g01040	261584_at	Arabidopsis thaliana	dicer-like 1(DCL1)
At4g23100	254270_at	Arabidopsis thaliana	glutamate-cysteine ligase(GSH1)
At4g21130	254454_at	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(EMB2271)
At1g55870	260593_at	Arabidopsis thaliana	Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AHG2)
At3g46740	252492_at	Arabidopsis thaliana	translocon at the outer envelope membrane of chloroplasts 75-III(TOC75-III)
At2g17800	264593_at	Arabidopsis thaliana	RAC-like 1(ARAC1)
At1g49880	259817_at	Arabidopsis thaliana	Erv1/Alr family protein(Erv1)
At1g65450	264160_at	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(GLC)
At1g65450	264163_at	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(GLC)
At1g22090	255954_at	Arabidopsis thaliana	hypothetical protein(emb2204)
At3g07630	259254_at	Arabidopsis thaliana	arogenate dehydratase 2(ADT2)
At5g13710	250254_at	Arabidopsis thaliana	sterol methyltransferase 1(SMT1)
At4g28210	253816_at	Arabidopsis thaliana	embryo defective 1923(EMB1923)
At4g23250	254246_at	Arabidopsis thaliana	cysteine-rich receptor-like protein kinase 17(EMB1290)
At1g69270	260345_at	Arabidopsis thaliana	receptor-like protein kinase 1(RPK1)
At1g24706	245649_at	Arabidopsis thaliana	THO2(THO2)
At1g24706	245647_at	Arabidopsis thaliana	THO2(THO2)
At5g08415	246005_at	Arabidopsis thaliana	Radical SAM superfamily protein(AT5G08415)
At3g48110	252404_at	Arabidopsis thaliana	glycine-tRNA ligase(EDD1)
At2g36000	263946_at	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(EMB3114)
At2g32280	266358_at	Arabidopsis thaliana	GPI inositol-deacylase C, putative (DUF1218)(AT2G32280)
At1g02560	260912_at	Arabidopsis thaliana	nuclear encoded CLP protease 5(CLPP5)
At5g52920	248283_at	Arabidopsis thaliana	plastidic pyruvate kinase beta subunit 1(PKP-BETA1)
At5g58020	247840_at	Arabidopsis thaliana	RTF2 RING-finger protein(AT5G58020)
At4g33990	253319_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB2758)
At4g09980	255015_at	Arabidopsis thaliana	Methyltransferase MT-A70 family protein(EMB1691)
At3g04460	258627_at	Arabidopsis thaliana	peroxin-12(PEX12)
At1g28300	245669_at	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(LEC2)
At3g60740	251383_at	Arabidopsis thaliana	ARM repeat superfamily protein(TTN1)
At4g02790	255447_at	Arabidopsis thaliana	GTP-binding family protein(EMB3129)
At2g18510	265930_at	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(emb2444)
At3g08880	258981_at	Arabidopsis thaliana	plectin-like protein(AT3G08880)
At2g34260	267004_at	Arabidopsis thaliana	transducin family protein / WD-40 repeat family protein(WDR55)
At4g16440	245496_at	Arabidopsis thaliana	ferredoxin hydrogenase(NAR1)
At5g62440	247453_at	Arabidopsis thaliana	EMB514 (DUF3223)(AT5G62440)
At5g62440	247454_at	Arabidopsis thaliana	EMB514 (DUF3223)(AT5G62440)
At3g57560	251639_at	Arabidopsis thaliana	N-acetyl-l-glutamate kinase(NAGK)
At5g48230	248690_at	Arabidopsis thaliana	acetoacetyl-CoA thiolase 2(ACAT2)
At1g04950	261126_at	Arabidopsis thaliana	TATA BOX ASSOCIATED FACTOR II 59(TAFII59)
At2g45000	266128_at	Arabidopsis thaliana	structural constituent of nuclear pore(EMB2766)
At5g51200	248465_at	Arabidopsis thaliana	nuclear pore complex protein (DUF3414)(EMB3142)
At5g51340	248453_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G51340)
At1g77470	259732_at	Arabidopsis thaliana	replication factor C subunit 3(RFC3)
At5g14850	246598_at	Arabidopsis thaliana	Alg9-like mannosyltransferase family(AT5G14850)
At1g21650	262491_at	Arabidopsis thaliana	Preprotein translocase SecA family protein(SECA2)
At5g40480	249354_at	Arabidopsis thaliana	embryo defective 3012(EMB3012)
At2g01390	265792_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB3111)
At4g00450	255665_at	Arabidopsis thaliana	RNA polymerase II transcription mediator(CCT)
At5g14760	246597_at	Arabidopsis thaliana	L-aspartate oxidase(AO)
At1g36160	263192_at	Arabidopsis thaliana	acetyl-CoA carboxylase 1(ACC1)
At1g32930	261239_at	Arabidopsis thaliana	Galactosyltransferase family protein(AT1G32930)
At3g23110	257763_s_at	Arabidopsis thaliana	receptor like protein 37(RLP37)
At3g20630	257085_at	Arabidopsis thaliana	ubiquitin-specific protease 14(UBP14)
At5g16715	246509_at	Arabidopsis thaliana	protein EMBRYO DEFECTIVE 2247(EMB2247)
At5g62410	247482_at	Arabidopsis thaliana	structural maintenance of chromosomes 2(SMC2)
At3g12670	257702_at	Arabidopsis thaliana	CTP synthase family protein(emb2742)
At4g34200	253274_at	Arabidopsis thaliana	D-3-phosphoglycerate dehydrogenase(EDA9)
At5g39710	249464_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB2745)
At1g13800	259449_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(FAC19)
At3g16810	257652_at	Arabidopsis thaliana	pumilio 24(PUM24)
At2g24090	266570_at	Arabidopsis thaliana	Ribosomal protein L35(PRPL35)
At1g12410	259521_at	Arabidopsis thaliana	CLP protease proteolytic subunit 2(CLP2)
At4g00231	255707_at	Arabidopsis thaliana	ARM repeat superfamily protein(MEE50)
At1g74970	262172_at	Arabidopsis thaliana	ribosomal protein S9(RPS9)
At5g49720	248573_at	Arabidopsis thaliana	glycosyl hydrolase 9A1(GH9A1)
At1g76060	262673_at	Arabidopsis thaliana	LYR family of Fe/S cluster biogenesis protein(EMB1793)
At3g13930	258208_at	Arabidopsis thaliana	Dihydrolipoamide acetyltransferase, long form protein(AT3G13930)
At5g66680	247058_at	Arabidopsis thaliana	dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48kDa subunit family protein(DGL1)
At4g20060	254495_at	Arabidopsis thaliana	ARM repeat superfamily protein(EMB1895)
At5g11890	250300_at	Arabidopsis thaliana	harpin-induced protein(EMB3135)
At5g13480	245848_at	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(FY)
At5g57590	247916_at	Arabidopsis thaliana	adenosylmethionine-8-amino-7-oxononanoate transaminase(BIO1)
At5g57590	247917_at	Arabidopsis thaliana	adenosylmethionine-8-amino-7-oxononanoate transaminase(BIO1)
At5g51600	248413_at	Arabidopsis thaliana	Microtubule associated protein (MAP65/ASE1) family protein(PLE)
At3g54010	251932_at	Arabidopsis thaliana	FKBP-type peptidyl-prolyl cis-trans isomerase family protein(PAS1)
At1g35680	262029_at	Arabidopsis thaliana	Ribosomal protein L21(RPL21C)
At4g34620	253201_at	Arabidopsis thaliana	small subunit ribosomal protein 16(SSR16)
At5g63920	247301_at	Arabidopsis thaliana	topoisomerase 3alpha(TOP3A)
At5g49010	248632_at	Arabidopsis thaliana	DNA replication protein-like protein(SLD5)
At3g52940	251995_at	Arabidopsis thaliana	Ergosterol biosynthesis ERG4/ERG24 family(FK)
At1g24340	257410_at	Arabidopsis thaliana	FAD/NAD(P)-binding oxidoreductase family protein(EMB2421)
At2g25710	265887_at	Arabidopsis thaliana	holocarboxylase synthase 1(HCS1)
At2g38020	266096_at	Arabidopsis thaliana	vacuoleless1 (VCL1)(VCL1)
At4g13750	254732_at	Arabidopsis thaliana	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein(NOV)
At4g13750	254731_at	Arabidopsis thaliana	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein(NOV)
At2g14170	263275_at	Arabidopsis thaliana	aldehyde dehydrogenase 6B2(ALDH6B2)
At5g04660	250859_at	Arabidopsis thaliana	cytochrome P450, family 77, subfamily A, polypeptide 4(CYP77A4)
At1g13120	262794_at	Arabidopsis thaliana	nucleoporin GLE1-like protein(GLE1)
At3g63490	251120_at	Arabidopsis thaliana	Ribosomal protein L1p/L10e family(EMB3126)
At5g04560	250835_at	Arabidopsis thaliana	HhH-GPD base excision DNA repair family protein(DME)
At5g04560	250836_at	Arabidopsis thaliana	HhH-GPD base excision DNA repair family protein(DME)
At5g04560	250834_at	Arabidopsis thaliana	HhH-GPD base excision DNA repair family protein(DME)
At2g30410	267494_at	Arabidopsis thaliana	tubulin folding cofactor A (KIESEL)(KIS)
At1g19850	255782_at	Arabidopsis thaliana	Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein(MP)
At4g33460	253328_at	Arabidopsis thaliana	ABC transporter family protein(ABCI10)
At2g33160	245157_at	Arabidopsis thaliana	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein(AT2G33160)
At1g50240	262474_at	Arabidopsis thaliana	kinase family with ARM repeat domain-containing protein(FU)
At1g50240	262467_at	Arabidopsis thaliana	kinase family with ARM repeat domain-containing protein(FU)
At1g43710	260814_at	Arabidopsis thaliana	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(EMB1075)
At5g55490	248086_at	Arabidopsis thaliana	gamete expressed protein 1(GEX1)
At2g47620	245149_at	Arabidopsis thaliana	SWITCH/sucrose nonfermenting 3A(SWI3A)
At2g37920	266091_at	Arabidopsis thaliana	copper ion transmembrane transporter(emb1513)
At2g35030	267420_at	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT2G35030)
At5g49930	248583_at	Arabidopsis thaliana	zinc knuckle (CCHC-type) family protein(emb1441)
At3g08950	258987_at	Arabidopsis thaliana	electron transport SCO1/SenC family protein(HCC1)
At5g05680	250769_at	Arabidopsis thaliana	nuclear pore complex protein-like protein(MOS7)
At4g22970	254288_at	Arabidopsis thaliana	separase(ESP)
At1g03360	264357_at	Arabidopsis thaliana	ribosomal RNA processing 4(RRP4)
At3g19700	257043_at	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(IKU2)
At4g02570	255441_at	Arabidopsis thaliana	cullin 1(CUL1)
At1g21690	262501_at	Arabidopsis thaliana	ATPase family associated with various cellular activities (AAA)(EMB1968)
At5g57930	247889_at	Arabidopsis thaliana	APO RNA-binding protein (DUF794)(APO2)
At2g41720	260523_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB2654)
At1g67730	245199_at	Arabidopsis thaliana	beta-ketoacyl reductase 1(KCR1)
At1g55350	259646_at	Arabidopsis thaliana	calpain-type cysteine protease family(DEK1)
At1g19770	261143_at	Arabidopsis thaliana	purine permease 14(PUP14)
At1g71440	259895_at	Arabidopsis thaliana	tubulin folding cofactor E / Pfifferling (PFI)(PFI)
At3g20740	257987_at	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(FIE)
At5g37510	249627_at	Arabidopsis thaliana	NADH-ubiquinone dehydrogenase(EMB1467)
